,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,8bfac288-ccc5-448d-9573-c33ea2aa5c30,1980,10,85,alternative rock,74.0,0.049796,0.6156,276857.0,0.7357,0.0043831,5.0,0.16656,-5.734,0.0,0.04819,102.2304,4.0,0.589,270904218,4399422,0
1,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,a74b1b7f-71a5-4011-9441-d0b5e4122711,1990,6,79,alternative rock,67.0,0.3258,0.4133,285986.0,0.4806,0.24914632,5.0,0.12221,-10.3577,0.0,0.0328,108.5972,3.0,0.2565,452045170,4520061,0
2,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,33ca19f4-18c8-4411-98df-ac23890ce9f5,2010,1,82,dance pop,64.0,0.30341,0.5351,214899.0,0.6116,0.004519941,4.0,0.14061,-7.4027,0.0,0.04638,131.388,4.0,0.3863,75442764,1754758,0
3,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,b7539c32-53e7-4908-bda3-81449c367da6,2010,1,84,dance pop,65.0,0.33071,0.4628,251509.0,0.6162,0.000874077,3.0,0.1367,-7.5441,0.0,0.0709,119.6218,3.0,0.25593,168730236,1626186,0
4,M83,63MQldklfxkjYDoUE4Tppz,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,2000,5,72,alternative dance,55.0,0.0395268,0.3929,281408.0,0.5633,0.10783729,5.0,0.10312,-7.8103,0.0,0.03355,113.3537,4.0,0.13118,77276968,1760071,0
5,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,875203e1-8e58-4b86-8dcb-7190faf411c5,2010,1,90,dwn trap,80.0,0.45402,0.6873,237916.0,0.4237,0.009954954,8.0,0.16441,-10.7756,0.0,0.25194,128.7051,3.0,0.32711,24389466,1377360,0
6,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,6f1de078-6684-4792-820d-2ffad64c15ed,2010,1,74,alternative dance,58.0,0.04172215,0.6099,216201.0,0.7334,0.017190159,4.0,0.16996,-5.4679,0.0,0.0815,122.7849,4.0,0.6292,59026594,1551500,0
7,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,b53cab0a-f355-41eb-9bce-bf619b6d760e,2010,1,80,folk-pop,58.0,0.20601,0.6456,223171.0,0.7307,2.6588e-05,5.0,0.20157,-5.3556,0.0,0.05165,119.9997,4.0,0.4763,32892870,897472,0
8,Disclosure,6nS5roXSAGhTGr34W6n7Et,ae65c507-d9a0-4d42-9a6c-2b1f82158b9f,2010,2,77,edm,60.0,0.099156,0.6715,253161.0,0.6767,0.036519693,7.0,0.17189,-6.4159,0.0,0.18823,118.4783,4.0,0.5868,27336122,834832,0
9,Major Lazer,738wLrAtLtCtFOLvQBXOXp,75be165a-ad83-4d12-bd28-f589a15c479f,2010,4,89,edm,69.0,0.053996,0.6537,203981.0,0.813,0.000763553,7.0,0.21559,-4.3031,0.0,0.09452,126.7069,3.0,0.6003,23683267,997846,0
